Sample_ID,Project,PRO.mL,SYN.mL,PEUK.mL,HBACT.mL,chla.ug.per.L,SW.Temperature.at.site,Salinity,pH,Silicate,NitrateNitrite,Phosphate,Ammonia,Depth,Universal_Sample_ID,lln_micro,llp_micro,kmeansruns,kmeansruns_cat,Metagenome_ID,Metagenome,latitude,longitude,Site,Date,Metagenome_Deeply_Sequenced
STJy0250,KByT,178317,36543,3769,728616,0.5,26.12,34.04,8.03,0.88,0.06,0.07,0.02,1.97,KBT_07.23.2018_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,7/23/18,NA
R2Jy0249,KByT,137453,39012,5200,812548,0.6,25.92,34.14,7.91,8.28,0.13,0.1,NA,2.2,KBT_07.23.2018_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,7/23/18,NA
R8Jy0247,KByT,33011,79061,9796,1035510,0.9,26.62,34.07,8.01,1.22,0.12,0.08,NA,2.396,KBT_07.23.2018_SR8,NA,NA,1,Offshore,NA,None,21.44983333,-157.7932167,SR8,7/23/18,NA
SBSe0268,KByT,5410,396223,12789,2489026,1.4,28.23,32.84,7.92,7.49,0.05,0.05,0.03,1.96,KBT_09.11.2018_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,9/11/18,NA
R2Se0269,KByT,3677,26196,6723,1188746,0.9,27.38,33.24,7.8,1.81,0.29,0.11,0.07,2.1,KBT_09.11.2018_SR2,NA,NA,2,Coastal,NA,None,21.4691667,-157.77752,SR2,9/11/18,NA
R8Se0267,KByT,3900,235081,10111,1322799,1.3,28.22,32.9,7.92,5.34,0.36,0.11,NA,1.93,KBT_09.11.2018_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,9/11/18,NA
HPSe0264,KByT,0,471199,22427,1903444,2,28.15,31.81,7.92,12.56,0.29,0.09,NA,1.85,KBT_09.11.2018_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,9/11/18,NA
STSe0270,KByT,94765,107857,8377,893592,0.8,27.09,33.4,8.02,1.58,0.07,0.1,NA,1.9,KBT_09.11.2018_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,9/11/18,NA
HPOc0290,KByT,4714,365759,19276,2029592,2.1,27.31,33.67,7.92,22.73,0.18,0.12,NA,2.31,KBT_10.11.2018_HP1,NA,NA,2,Coastal,KOc290HP,KByT,21.43688,-157.80331,HP1,10/11/18,NA
AROc0291,KByT,4872,515857,19460,1988886,2,27.81,34.5,7.91,13.53,0.08,0.06,0.11,2.39,KBT_10.11.2018_AR,NA,NA,2,Coastal,KOc291AR,KByT,21.46765,-157.83585,AR,10/11/18,NA
R8Oc0293,KByT,4281,179827,12527,1394414,1.2,27.1,33.67,7.84,15.91,0.35,0.1,NA,2.294,KBT_10.11.2018_SR8,NA,NA,2,Coastal,KOc293R8,KByT,21.44983333,-157.7932167,SR8,10/11/18,NA
NT297_R2,KByT,23832,40994,4740,591635,0.5,26.8,35.01,7.85,2.56,0.17,0.05,NA,2.2,KBT_10.11.2018_NTO1,NA,NA,1,Offshore,KOc297NT,KByT,21.526,-157.7979,NTO1,10/11/18,NA
NBOc0299,KByT,1733,152948,9730,842198,1.5,27.47,34.77,7.95,13.25,0.73,0.06,NA,2.51,KBT_10.11.2018_NB,NA,NA,2,Coastal,KOc299NB,KByT,21.49048333,-157.8332833,NB,10/11/18,NA
CB292_R2,KByT,6342,421578,18830,2326361,1.6,27.7,34.05,7.9,11.3,0.04,0.04,NA,2.248,KBT_10.11.2018_CB,NA,NA,2,Coastal,NA,None,21.45705,-157.81135,CB,10/11/18,NA
R2Oc0295,KByT,10373,119254,9297,1478412,1,26.93,34.89,7.64,4.77,0.29,0.09,NA,2.521,KBT_10.11.2018_SR2,NA,NA,2,Coastal,NA,None,21.4691667,-157.77752,SR2,10/11/18,NA
NROc0298,KByT,19801,58445,5305,837431,0.7,26.86,35.11,7.97,3.02,0.21,0.04,0.08,2.282,KBT_10.11.2018_NR2,NA,NA,1,Offshore,NA,None,21.5147,-157.8117167,NR2,10/11/18,NA
STOc0296,KByT,75161,95461,6539,776058,2.4,26.83,35.05,7.85,1.43,0.16,0.04,NA,2.301,KBT_10.11.2018_STO1,NA,NA,1,Offshore,KOc321ST,KByT,21.4829,-157.7663,STO1,10/11/18,NA
R8No0325,KByT,0,368595,22834,2145432,1.9,26.95,34.59,7.76,6.24,0.08,0.06,NA,1.958,KBT_11.09.2018_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,11/9/18,NA
SBNo0326,KByT,0,398337,21180,2913427,1.8,27.45,35,7.75,5.58,0.08,0.07,NA,2.005,KBT_11.09.2018_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,11/9/18,NA
R2No0327,KByT,8312,68307,9454,1230358,0.9,26.63,35.95,7.45,3.77,0.38,0.07,NA,2.039,KBT_11.09.2018_SR2,NA,NA,2,Coastal,NA,None,21.4691667,-157.77752,SR2,11/9/18,NA
HPNo0322,KByT,26,63908,7511,1192869,1.4,28.04,33.88,7.62,14.28,1.1,0.11,0.24,2.046,KBT_11.09.2018_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,11/9/18,NA
STNo0328,KByT,32381,53442,8798,1000437,0.8,26.68,36.28,7.78,2.19,0.21,0.06,NA,2.079,KBT_11.09.2018_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,11/9/18,NA
SBJa0358,KByT,3966,423889,24817,2269886,1.7,23.88,34.44,7.96,9.42,0.1,0.07,0.05,2.107,KBT_01.11.2019_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,1/11/19,NA
STJa0360,KByT,239651,15297,3755,898476,0.4,24.44,35.35,8.08,1,0.07,0.06,NA,2.173,KBT_01.11.2019_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,1/11/19,NA
R2Ja0359,KByT,16085,11791,4583,769873,0.6,24.26,35.22,7.85,1.33,0.26,0.09,0.58,1.955,KBT_01.11.2019_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,1/11/19,NA
R8Ja0357,KByT,9152,114960,9533,995881,1.4,24.16,34.84,7.93,5.09,0.26,0.08,0.08,2.077,KBT_01.11.2019_SR8,NA,NA,1,Offshore,NA,None,21.44983333,-157.7932167,SR8,1/11/19,NA
HPJa0354,KByT,8469,164096,10505,1132428,1.7,24.3,34.9,7.82,6.31,0.31,0.09,0.09,2.073,KBT_01.11.2019_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,1/11/19,NA
HPFe0386,KByT,0,27601,10518,1724444,2.5,23.51,32.85,7.81,13.01,0.16,0.08,NA,1.897,KBT_02.25.2019_HP1,NA,NA,2,Coastal,KFe386HP,KByT,21.43688,-157.80331,HP1,2/25/19,NA
ARFe0387,KByT,2666,27036,6920,1839234,2,23.99,32.75,7.84,20.47,0.5,0.09,0.02,1.73,KBT_02.25.2019_AR,NA,NA,2,Coastal,KFe387AR,KByT,21.46765,-157.83585,AR,2/25/19,NA
R8389_R2,KByT,6185,32302,7668,1484571,1.7,23.84,33.97,7.81,2.06,0.14,0.05,NA,1.97,KBT_02.25.2019_SR8,NA,NA,2,Coastal,KFe389R8,KByT,21.44983333,-157.7932167,SR8,2/25/19,NA
NTFe0393,KByT,118164,6093,3755,562130,0.3,23.36,34.97,7.96,1.52,0.07,0.08,NA,2.055,KBT_02.25.2019_NTO1,NA,NA,1,Offshore,KFe393NT,KByT,21.526,-157.7979,NTO1,2/25/19,NA
NBFe0395,KByT,10859,41428,8469,1421306,2,23.79,33.94,7.91,5.39,0.11,0.05,NA,1.905,KBT_02.25.2019_NB,NA,NA,2,Coastal,KFe395NB,KByT,21.49048333,-157.8332833,NB,2/25/19,NA
STFe0392,KByT,136022,6920,4924,666061,0.4,23.22,34.97,7.97,1.33,0.06,0.07,0.04,2.3,KBT_02.25.2019_STO1,NA,NA,1,Offshore,KFe416ST,KByT,21.4829,-157.7663,STO1,2/25/19,NA
SBFe0390,KByT,10295,64485,12251,2303592,1.6,23.68,33.36,7.87,2.71,0.04,0.06,NA,1.927,KBT_02.25.2019_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,2/25/19,NA
R2Fe0391,KByT,4018,7183,4872,1338569,1,23.62,34.45,7.92,1.62,0.13,0.08,NA,2.183,KBT_02.25.2019_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,2/25/19,NA
CBFe0388,KByT,6277,46457,12514,1632634,1.9,23.83,33.27,7.86,5.84,0.06,0.05,NA,1.91,KBT_02.25.2019_CB,NA,NA,2,Coastal,NA,None,21.45705,-157.81135,CB,2/25/19,NA
NRFe0394,KByT,31658,19539,6881,954873,1.3,23.48,34.81,7.92,1.62,0.16,0.07,NA,2.243,KBT_02.25.2019_NR2,NA,NA,1,Offshore,NA,None,21.5147,-157.8117167,NR2,2/25/19,NA
SBMa0422,KByT,6290,217315,21022,2219975,1.2,24.1,34.45,7.85,6.77,0.13,0.07,NA,2.015,KBT_03.21.2019_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,3/21/19,NA
R8Ma0421,KByT,6565,53180,10518,1309353,0.9,24.5,35.11,7.79,3.91,0.17,0.08,NA,2.036,KBT_03.21.2019_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,3/21/19,NA
HPMa0418,KByT,2364,73638,11647,1540770,1.2,24.07,34.54,7.78,16.57,0.39,0.11,0.13,2.13,KBT_03.21.2019_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,3/21/19,NA
STMa0449,KByT,246426,24200,7235,827110,0.7,23.64,35.45,7.93,1.35,0.08,0.09,NA,1.87,KBT_03.21.2019_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,3/21/19,NA
R2Ma0423,KByT,24397,36517,6881,1230502,0.7,23.74,35.32,7.77,2.18,0.19,0.07,0.05,1.86,KBT_03.21.2019_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,3/21/19,NA
SBAp0454,KByT,8141,244194,15626,2197732,2.2,25.26,36.84,7.76,7.61,0.05,0.09,NA,2.15,KBT_04.22.2019_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,4/22/19,NA
R8Ap0453,KByT,3151,145306,13420,1386733,2.3,25.23,36.88,7.73,5.2,0.08,0.1,NA,1.9,KBT_04.22.2019_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,4/22/19,NA
HPAp0450,KByT,0,119123,25789,1566389,2.6,28.65,35.92,7.7,14.32,0.28,0.11,NA,1.822,KBT_04.22.2019_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,4/22/19,NA
STAp0480,KByT,62201,9809,4386,731794,2.2,24.11,36.95,7.91,1.26,0.09,0.06,NA,1.95,KBT_04.22.2019_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,4/22/19,NA
R2Ap0455,KByT,26747,19722,5778,1039698,2.1,24.55,36.89,7.83,1.45,0.41,0.07,NA,2.02,KBT_04.22.2019_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,4/22/19,NA
SBMy0491,KByT,37515,301484,24108,2435636,1.1,27.29,36.08,7.65,9.28,0.16,0.1,NA,2.13,KBT_05.21.2019_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,5/21/19,NA
R8My0490,KByT,10649,295338,22887,2248666,1.2,27.07,35.86,7.64,11.3,0.08,0.05,NA,2.234,KBT_05.21.2019_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,5/21/19,NA
HPMy0487,KByT,13065,391719,22020,2342683,1.2,27.8,35.5,7.66,15.08,0.2,0.06,0.03,2.136,KBT_05.21.2019_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,5/21/19,NA
STMy0483,KByT,114895,76146,9979,898069,0.5,25.39,36.6,7.88,2.82,0.14,0.07,NA,2.1,KBT_05.21.2019_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,5/21/19,NA
R2My0482,KByT,52313,107187,11700,1159294,0.7,25.5,36.61,7.54,2.46,0.15,0.07,NA,2.1,KBT_05.21.2019_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,5/21/19,NA
SBJn0511,KByT,9612,291307,31501,3606708,1,27.62,36.67,7.64,8.81,0.05,0.08,NA,2.083,KBT_06.14.2019_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,6/14/19,NA
R8Jn0510,KByT,6684,320143,19184,2373396,1.3,27.65,36.61,7.69,6.97,0.07,0.06,NA,2.076,KBT_06.14.2019_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,6/14/19,NA
HPJn0507,KByT,2521,211025,13551,1648535,1.1,28.28,36.3,7.66,13.12,0.46,0.11,0.11,1.973,KBT_06.14.2019_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,6/14/19,NA
STJn0503,KByT,219219,39248,2823,765199,0.3,25.41,36.8,7.69,1.81,0.11,0.05,NA,2.081,KBT_06.14.2019_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,6/14/19,NA
R2Jn0502,KByT,105257,58577,4307,810250,0.4,25.5,36.31,7.51,1.2,0.18,0.05,NA,1.985,KBT_06.14.2019_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,6/14/19,NA
SBSe0711,KByT,0,412045,20445,2701180,2.9,27.69,35.79,7.9,9.78,0.03,0.25,NA,2.06,KBT_09.22.2020_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,9/22/20,NA
CBSe0709,KByT,0,308942,13853,2168778,0.4,27.93,35.58,7.86,6.49,0.05,0.18,NA,2.093,KBT_09.22.2020_CB,NA,NA,2,Coastal,NA,None,21.45705,-157.81135,CB,9/22/20,NA
ARSe0708,KByT,0,393544,24633,2195342,3.6,28.29,33.09,7.88,42.23,0.06,0.29,NA,1.981,KBT_09.22.2020_AR,NA,NA,2,Coastal,NA,None,21.46765,-157.83585,AR,9/22/20,NA
HPSe0707,KByT,0,76382,9861,1170718,0.8,28.01,35.44,7.73,12.82,0.77,0.25,0.42,2.15,KBT_09.22.2020_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,9/22/20,NA
NTSe0704,KByT,53587,51906,5226,1141567,0.3,27.1,35.38,7.91,1.52,0.06,0.11,NA,1.95,KBT_09.22.2020_NTO1,NA,NA,1,Offshore,NA,None,21.526,-157.7979,NTO1,9/22/20,NA
R2Se0702,KByT,21692,181757,17451,1262318,1,27.27,35.44,7.5,1.75,0.14,0.09,NA,1.965,KBT_09.22.2020_SR2,NA,NA,2,Coastal,NA,None,21.4691667,-157.77752,SR2,9/22/20,NA
R8Se0710,KByT,0,204460,27260,1531093,1.7,27.58,35.59,7.9,5.03,0.09,0.21,NA,2.3,KBT_09.22.2020_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,9/22/20,NA
NBSe0706,KByT,0,222082,26196,1486054,1.2,27.79,35.21,7.74,11.59,0.17,0.19,NA,1.82,KBT_09.22.2020_NB,NA,NA,2,Coastal,NA,None,21.49048333,-157.8332833,NB,9/22/20,NA
STSe0703,KByT,57369,86768,6762,1076281,0.3,27.04,35.39,7.91,1.41,0.05,0.11,NA,1.965,KBT_09.22.2020_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,9/22/20,NA
NRSe0705,KByT,14628,66980,11319,949818,0.7,27.34,35.45,7.86,2.72,0.58,0.11,0.04,2.018,KBT_09.22.2020_NR2,NA,NA,1,Offshore,NA,None,21.5147,-157.8117167,NR2,9/22/20,NA
SBDe0751,KByT,1352,319000,18055,2179664,1.3,25.39,34.93,7.82,3.15,0.06,0.08,NA,2.687,KBT_12.23.2020_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,12/23/20,NA
R8De0750,KByT,2757,127093,25894,1168866,1.3,25.42,34.03,7.85,2.61,0.06,0.1,NA,1.98,KBT_12.23.2020_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,12/23/20,NA
CBDe0749,KByT,2639,236552,22296,1352816,1.4,25,34.73,7.76,7.06,0.06,0.1,NA,2.079,KBT_12.23.2020_CB,NA,NA,2,Coastal,NA,None,21.45705,-157.81135,CB,12/23/20,NA
ARDe0748,KByT,1891,170005,18068,1397933,1.6,25.61,34.44,7.71,13.38,0.45,0.13,0.1,1.986,KBT_12.23.2020_AR,NA,NA,2,Coastal,NA,None,21.46765,-157.83585,AR,12/23/20,NA
HPDe0747,KByT,762,72613,9756,921823,0.9,25.38,34.58,7.21,9.07,0.88,0.17,0.36,2.064,KBT_12.23.2020_HP1,NA,NA,2,Coastal,KDe747HP,KByT,21.43688,-157.80331,HP1,12/23/20,Yes
NBDe0746,KByT,3073,58511,12842,667532,1.3,25.18,34.96,7.87,9.94,0.88,0.14,0.03,2.049,KBT_12.23.2020_NB,NA,NA,2,Coastal,NA,None,21.49048333,-157.8332833,NB,12/23/20,NA
NRDe0745,KByT,122852,19657,6211,565203,0.5,25.6,35.19,7.89,1.24,0.3,0.11,NA,2.064,KBT_12.23.2020_NR2,NA,NA,1,Offshore,NA,None,21.5147,-157.8117167,NR2,12/23/20,NA
STDe0743,KByT,283087,24528,4661,686138,0.2,25.58,35.19,7.89,1.41,0.06,0.08,NA,2.064,KBT_12.23.2020_STO1,NA,NA,1,Offshore,KDe743ST,KByT,21.4829,-157.7663,STO1,12/23/20,Yes
NTDe0744,KByT,286304,21837,4294,673939,0.2,25.61,35.18,7.82,1.15,0.06,0.1,NA,1.992,KBT_12.23.2020_NTO1,NA,NA,1,Offshore,NA,None,21.526,-157.7979,NTO1,12/23/20,NA
SBFe0771,KByT,1707,54598,7261,1176771,24.6,23.44,34.72,7.62,4.12,0.08,0.11,NA,2.05,KBT_02.12.2021_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,2/12/21,NA
ARFe0768,KByT,2508,63382,16886,1312084,1.7,22.79,34.64,7.99,11.04,0.13,0.12,NA,1.969,KBT_02.12.2021_AR,NA,NA,2,Coastal,NA,None,21.46765,-157.83585,AR,2/12/21,NA
HPFe0767,KByT,1471,51368,7222,777436,11.4,24.4,34.71,6.81,5.33,0.42,0.16,0.2,2.2,KBT_02.12.2021_HP1,NA,NA,2,Coastal,NA,None,21.43688,-157.80331,HP1,2/12/21,NA
R8Fe0770,KByT,2915,51053,6158,960808,5.7,23.92,34.88,7.82,2.75,0.24,0.14,0.02,2.01,KBT_02.12.2021_SR8,NA,NA,1,Offshore,NA,None,21.44983333,-157.7932167,SR8,2/12/21,NA
NBFe0766,KByT,4084,49004,16085,973099,1.1,22.97,34.72,7.89,6.92,0.19,0.11,NA,2.11,KBT_02.12.2021_NB,NA,NA,2,Coastal,NA,None,21.49048333,-157.8332833,NB,2/12/21,NA
CBFe0769,KByT,3874,76513,8561,982487,9.9,23.4,34.77,7.6,3.72,0.07,0.11,NA,2.01,KBT_02.12.2021_CB,NA,NA,2,Coastal,NA,None,21.45705,-157.81135,CB,2/12/21,NA
R2Fe0762,KByT,129614,7944,3585,521937,0.2,24.39,35.03,7.69,1.2,0.23,0.13,NA,2.12,KBT_02.12.2021_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,2/12/21,NA
STFe0763,KByT,250116,6237,3046,611542,0.2,24.52,35.03,7.99,1.2,0.06,0.13,NA,2.19,KBT_02.12.2021_STO1,NA,NA,1,Offshore,NA,None,21.4829,-157.7663,STO1,2/12/21,NA
NTFe0764,KByT,242789,8496,3178,621324,0.2,24.5,35.05,7.93,1.21,0.06,0.11,NA,2.09,KBT_02.12.2021_NTO1,NA,NA,1,Offshore,NA,None,21.526,-157.7979,NTO1,2/12/21,NA
NRFe0765,KByT,102683,4438,2508,395855,0.2,24.42,35.05,8,1.23,0.25,0.14,NA,1.95,KBT_02.12.2021_NR2,NA,NA,1,Offshore,NA,None,21.5147,-157.8117167,NR2,2/12/21,NA
SBMy0821,KByT,5003,336517,23215,1619214,0.9,25.91,35.07,7.75,7.49,0.17,0.17,NA,2.12,KBT_05.24.2021_SB,NA,NA,2,Coastal,NA,None,21.43635,-157.7773667,SB,5/24/21,NA
ARMy0818,KByT,2219,361084,22926,1705680,1.2,25.7,34.95,7.85,12.78,0.15,0.1,NA,1.929,KBT_05.24.2021_AR,NA,NA,2,Coastal,NA,None,21.46765,-157.83585,AR,5/24/21,NA
NBMy0816,KByT,2180,244496,18961,1205239,0.8,25.97,34.54,7.86,11.97,0.11,0.07,0.04,2.1054,KBT_05.24.2021_NB,NA,NA,2,Coastal,NA,None,21.49048333,-157.8332833,NB,5/24/21,NA
HPMy0817,KByT,2587,270876,22336,1336954,0.8,26.32,34.66,7.64,9.77,0.11,0.13,NA,1.9,KBT_05.24.2021_HP1,NA,NA,2,Coastal,KMy817HP,KByT,21.43688,-157.80331,HP1,5/24/21,Yes
R8My0820,KByT,3913,150768,16768,1432848,0.7,25.98,35.07,7.71,3.33,0.08,0.1,NA,2.07,KBT_05.24.2021_SR8,NA,NA,2,Coastal,NA,None,21.44983333,-157.7932167,SR8,5/24/21,NA
CBMy0819,KByT,5239,391824,18830,1458191,0.7,25.79,34.91,7.72,6.8,0.06,0.1,NA,2.05,KBT_05.24.2021_CB,NA,NA,2,Coastal,NA,None,21.45705,-157.81135,CB,5/24/21,NA
STMy0813,KByT,268538,12093,2902,826112,0.1,24.91,35.05,7.71,1.2,0.06,0.09,NA,1.785,KBT_05.24.2021_STO1,NA,NA,1,Offshore,KMy813ST,KByT,21.4829,-157.7663,STO1,5/24/21,Yes
NTMy0814,KByT,44487,61479,10925,887565,0.5,25.03,35.04,7.85,1.62,0.14,0.1,NA,2.016,KBT_05.24.2021_NTO1,NA,NA,1,Offshore,NA,None,21.526,-157.7979,NTO1,5/24/21,NA
NRMy0815,KByT,22887,72298,7550,702210,0.4,25.36,35.06,7.82,1.92,0.19,0.09,NA,2.069,KBT_05.24.2021_NR2,NA,NA,1,Offshore,NA,None,21.5147,-157.8117167,NR2,5/24/21,NA
R2My0812,KByT,55254,44553,8141,929636,0.3,24.5,35.05,7.61,1.43,0.15,0.1,0.09,1.941,KBT_05.24.2021_SR2,NA,NA,1,Offshore,NA,None,21.4691667,-157.77752,SR2,5/24/21,NA